Owner,Year,Round,Original Owner
Tomy,2030,1st,Tomy
Tomy,2030,2nd,Tomy
Tomy,2030,3rd,Tomy
Frank T,2026,1st,Frank T
Frank T,2026,1st,Doc
Frank T,2026,1st,Allaire
Frank T,2026,2nd,Frank T
Frank T,2027,1st,Frank T
Frank T,2027,2nd,Frank T
Frank T,2027,3rd,Desbiens
Frank T,2027,3rd,Frank T
Frank T,2028,1st,Frank T
Frank T,2028,2nd,Frank T
Frank T,2028,3rd,Frank T
Frank T,2029,1st,Frank T
Frank T,2029,2nd,Frank T
Frank T,2029,3rd,Frank T
Frank T,2030,1st,Frank T
Frank T,2030,2nd,Frank T
Frank T,2030,3rd,Frank T
Bernard,2026,1st,Bernard
Bernard,2026,2nd,Bernard
Bernard,2026,2nd,Jeff
Bernard,2026,3rd,Bernard
Bernard,2027,1st,Bernard
Bernard,2027,2nd,Bernard
Bernard,2027,3rd,Bernard
Bernard,2028,1st,Bernard
Bernard,2028,2nd,Bernard
Bernard,2028,3rd,Bernard
Bernard,2029,1st,Bernard
Bernard,2029,2nd,Bernard
Bernard,2029,3rd,Bernard
Bernard,2030,1st,Bernard
Bernard,2030,2nd,Bernard
Bernard,2030,3rd,Bernard
